date,day_of_week,weather,menu_item,food_category,meal_time,amount_cooked_kg,amount_consumed_kg,food_waste_kg
2023-10-02,Monday,Light Rain,Aloo Gobhi,Dry Veg,Lunch,59.52,50.31,9.21
2023-10-02,Monday,Light Rain,Plain Roti,Bread/Roti,Lunch,58.15,51.68,6.48
2023-10-03,Tuesday,Heavy Rain,Mix Veg,Dry Veg,Dinner,49.06,35.29,13.78
2023-10-03,Tuesday,Heavy Rain,Aloo Gobhi,Dry Veg,Dinner,45.39,33.58,11.81
2023-10-03,Tuesday,Heavy Rain,Jeera Rice,Rice,Dinner,40.32,32.23,8.09
2023-10-04,Wednesday,Cloudy,Mix Veg,Dry Veg,Dinner,42.41,33.41,9.0
2023-10-05,Thursday,Clear,Aloo Gobhi,Dry Veg,Breakfast,44.85,39.47,5.38
2023-10-05,Thursday,Clear,Plain Roti,Bread/Roti,Breakfast,44.82,35.64,9.18
2023-10-06,Friday,Heavy Rain,Dal Makhani,Curry/Dal,Lunch,59.53,38.21,21.32
2023-10-06,Friday,Heavy Rain,Dal Makhani,Curry/Dal,Dinner,53.09,40.0,13.09
2023-10-06,Friday,Heavy Rain,Dal Makhani,Curry/Dal,Lunch,44.72,36.09,8.62
2023-10-07,Saturday,Clear,Palak Paneer,Curry/Dal,Lunch,51.35,40.03,11.32
2023-10-08,Sunday,Cloudy,Plain Roti,Bread/Roti,Lunch,47.99,36.31,11.68
2023-10-08,Sunday,Cloudy,Poha,Other,Dinner,48.22,34.38,13.84
2023-10-08,Sunday,Cloudy,Dal Makhani,Curry/Dal,Lunch,45.89,32.37,13.52
2023-10-09,Monday,Cloudy,Poha,Other,Dinner,52.23,43.75,8.47
2023-10-10,Tuesday,Cloudy,Dal Makhani,Curry/Dal,Lunch,54.81,43.94,10.87
2023-10-11,Wednesday,Heavy Rain,Aloo Gobhi,Dry Veg,Breakfast,50.68,33.91,16.77
2023-10-11,Wednesday,Heavy Rain,Aloo Gobhi,Dry Veg,Breakfast,45.18,32.04,13.14
2023-10-11,Wednesday,Heavy Rain,Mix Veg,Dry Veg,Lunch,48.85,32.43,16.41
